kind,id,key,value
task,100,test_end,272.07
task,101,arrived,176.47
task,101,dev_queue_length,0.0
task,101,dev_time,6.82
task,101,dev_start,263.29
task,101,dev_end,270.11
task,101,test_queue_length,0.0
task,101,test_time,6.09
task,101,test_start,270.11
task,101,test_end,276.21
task,102,arrived,179.79
task,102,dev_queue_length,0.0
task,102,dev_time,6.14
task,102,dev_start,265.0
task,102,dev_end,271.14
task,102,test_queue_length,0.0
task,102,test_time,7.93
task,102,test_start,272.07
task,102,test_end,280.0
task,103,arrived,181.19
task,103,dev_queue_length,0.0
task,103,dev_time,5.83
task,103,dev_start,270.11
task,103,dev_end,275.95
task,103,test_queue_length,0.0
task,103,test_time,5.61
task,103,test_start,276.21
task,103,test_end,281.81
task,104,arrived,188.29
task,104,dev_queue_length,0.0
task,104,dev_time,7.32
task,104,dev_start,271.14
task,104,dev_end,278.46
task,104,test_queue_length,0.0
task,104,test_time,7.42
task,104,test_start,280.0
task,104,test_end,287.42
task,105,arrived,188.63
task,105,dev_queue_length,0.0
task,105,dev_time,4.8
task,105,dev_start,275.95
task,105,dev_end,280.74
task,105,test_queue_length,0.0
task,105,test_time,5.92
task,105,test_start,281.81
task,105,test_end,287.74
task,106,arrived,191.27
task,106,dev_queue_length,0.0
task,106,dev_time,8.47
task,106,dev_start,278.46
task,106,dev_end,286.93
task,106,test_queue_length,0.0
task,106,test_time,2.86
task,106,test_start,287.74
task,106,test_end,290.6
task,107,arrived,192.03
task,107,dev_queue_length,0.0
task,107,dev_time,4.71
task,107,dev_start,280.74
task,107,dev_end,285.46
task,107,test_queue_length,0.0
task,107,test_time,3.75
task,107,test_start,287.42
task,107,test_end,291.17
task,108,arrived,192.22
task,108,dev_queue_length,0.0
task,108,dev_time,4.51
task,108,dev_start,285.46
task,108,dev_end,289.97
task,108,test_queue_length,0.0
task,108,test_time,5.5
task,108,test_start,290.6
task,108,test_end,296.1
task,109,arrived,194.91
task,109,dev_queue_length,0.0
task,109,dev_time,3.07
task,109,dev_start,286.93
task,109,dev_end,290.0
task,109,test_queue_length,0.0
task,109,test_time,5.34
task,109,test_start,291.17
task,109,test_end,296.51
task,110,arrived,197.69
task,110,dev_queue_length,0.0
task,110,dev_time,2.4
task,110,dev_start,289.97
task,110,dev_end,292.37
task,110,test_queue_length,0.0
task,110,test_time,1.1
task,110,test_start,296.1
task,110,test_end,297.2
task,111,arrived,198.04
task,111,dev_queue_length,0.0
task,111,dev_time,7.11
task,111,dev_start,290.0
task,111,dev_end,297.11
task,111,test_queue_length,0.0
task,111,test_time,7.39
